Selma Lagerlöf|The Wonderful Adventures of Nils|/ebooks/selma-lagerlof/the-wonderful-adventures-of-nils/velma-swanston-howard
H. Beam Piper|The Cosmic Computer|/ebooks/h-beam-piper/the-cosmic-computer
August Strindberg|The Red Room|/ebooks/august-strindberg/the-red-room/ellie-schleussner
Erskine Childers|The Riddle of the Sands|/ebooks/erskine-childers/the-riddle-of-the-sands
J. W. von Goethe|The Sorrows of Young Werther|/ebooks/j-w-von-goethe/the-sorrows-of-young-werther/r-d-boylan
H. Beam Piper|Little Fuzzy|/ebooks/h-beam-piper/little-fuzzy
E. T. A. Hoffmann|Master Flea|/ebooks/e-t-a-hoffmann/master-flea/george-soane
William Makepeace Thackeray|Vanity Fair|/ebooks/william-makepeace-thackeray/vanity-fair
Wilkie Collins|No Name|/ebooks/wilkie-collins/no-name
Fyodor Dostoevsky|Crime and Punishment|/ebooks/fyodor-dostoevsky/crime-and-punishment/constance-garnett
G. K. Chesterton|The Wisdom of Father Brown|/ebooks/g-k-chesterton/the-wisdom-of-father-brown
Wilkie Collins|The Woman in White|/ebooks/wilkie-collins/the-woman-in-white
T. S. Eliot|Poetry|/ebooks/t-s-eliot/poetry
Booth Tarkington|Alice Adams|/ebooks/booth-tarkington/alice-adams
P. G. Wodehouse|Something New|/ebooks/p-g-wodehouse/something-new
H. G. Wells|The Invisible Man|/ebooks/h-g-wells/the-invisible-man
George Eliot|Silas Marner|/ebooks/george-eliot/silas-marner
Karl Marx|The Communist Manifesto|/ebooks/karl-marx_friedrich-engels/the-communist-manifesto/samuel-moore
H. G. Wells|The Island of Doctor Moreau|/ebooks/h-g-wells/the-island-of-doctor-moreau
Rudyard Kipling|Kim|/ebooks/rudyard-kipling/kim
John Keats|Poetry|/ebooks/john-keats/poetry
Freeman Wills Crofts|The Pit-Prop Syndicate|/ebooks/freeman-wills-crofts/the-pit-prop-syndicate
Lewis Carroll|Through the Looking-Glass|/ebooks/lewis-carroll/through-the-looking-glass/john-tenniel
Christopher Morley|Parnassus on Wheels|/ebooks/christopher-morley/parnassus-on-wheels
